ID,Official_Code,Name,Type,Category,State,LGA,Ward,Address,Status,Sources
1,"CP LAFIYA LAMURDE","CENTRAL PRIMARY LAFIYA LAMURDE",primary,public,ADAMAWA,LAMURDE,"LAMURDE","LAMURDE",active,"GSU(#325); FCET_GOMBE(#325)"
2,"KP SCHOOL LAFIYA LAMURDE","KUPTE PRIMARY SCHOOL LAFIYA LAMURDE",primary,public,ADAMAWA,LAMURDE,"LAMURDE","LAMURDE",active,"GSU(#329); FCET_GOMBE(#329)"
3,"MP SCHOOL LAFIYA LAMURDE","MAMSIRME PRIMARY SCHOOL LAFIYA LAMURDE",primary,public,ADAMAWA,LAMURDE,"LAMURDE","LAMURDE",active,"GSU(#327); FCET_GOMBE(#327)"
4,"GDJSS GYAWANA LAMURDE","GOVERNMENT DAY JUNIOR SECONDARY SCHOOL GYAWANA LAMURDE",junior,public,ADAMAWA,LAMURDE,"GYAWANA","GYAWANA",active,"FUK(#353); GSU(#353); FCET_GOMBE(#353)"
5,"GDSS GYAWANA","GOVERNMENT DAY SECONDARY SCHOOL GYAWANA",senior,public,ADAMAWA,LAMURDE,"LAMURDE","LAMURDE",active,"FUK(#324); GSU(#324); FCET_GOMBE(#324)"
6,"GDSS LAFIYA LAMURDE","GOVERNMENT DAY SECONDARY SCHOOL LAFIYA LAMURDE",senior,public,ADAMAWA,LAMURDE,"LAMURDE","LAMURDE",active,"FUK(#326); GSU(#326); FCET_GOMBE(#326)"
7,"GDSS MAMSIRME LAFIYA","GOVERNMENT DAY SECONDARY SCHOOL MAMSIRME LAFIYA",senior,public,ADAMAWA,LAMURDE,"LAMURDE","LAMURDE",active,"FUK(#323); GSU(#323); FCET_GOMBE(#323)"
8,"NP SCHOOL NUMAN","NGBALAN PRIMARY SCHOOL NUMAN",primary,public,ADAMAWA,NUMAN,"NUMAN","",active,"GSU(#360); FCET_GOMBE(#360)"
9,"GSS NUMAN","GOVERNMENT SECONDARY SCHOOL NUMAN",senior,public,ADAMAWA,NUMAN,"NUMAN","NUMAN",active,"FUK(#328); GSU(#328); FCET_GOMBE(#328)"
10,"CJSS ALKALERI","CENTRAL JUNIOR SECONDARY SCHOOL ALKALERI",junior,public,BAUCHI,ALKALERI,"ALKALERI","ALKALERI",active,"FUK(#333); GSU(#333); FCET_GOMBE(#333)"
11,"GJSS GAJIN DUGURI","GOVERNMENT JUNIOR SECONDARY SCHOOL GAJIN DUGURI",junior,public,BAUCHI,ALKALERI,"GAJIN DUGURI","YANKARI ROAD",active,"FUK(#405); GSU(#405); FCET_GOMBE(#405)"
12,"GJSS BAYARA BAUCHI","GOVERNMENT JUNIOR SECONDARY SCHOOL BAYARA BAUCHI",junior,public,BAUCHI,BAUCHI,"BAUCHI","BAUCHI",active,"FUK(#332); GSU(#332); FCET_GOMBE(#332)"
13,"GJSS DANGIKKA, BAUCHI","GOVERNMENT JUNIOR SECONDARY SCHOOL DANGIKKA, BAUCHI",junior,public,BAUCHI,BAUCHI,"BAUCHI","UP BAKA ROAD BAUCHI",active,"FCET_GOMBE(#422)"
14,"GJSS GWALLAMEJI BAUCHI","GOVERNMENT JUNIOR SECONDARY SCHOOL GWALLAMEJI BAUCHI",junior,public,BAUCHI,BAUCHI,"GWALLAMEJI, BAUCHI","Gwallameji, Near Fed. Polytechnic, Bauchi",active,"FUK(#345); GSU(#345); FCET_GOMBE(#345)"
15,"GJSS YELWAN MAKARANTA BAUCHI","GOVERNMENT JUNIOR SECONDARY SCHOOL YELWAN MAKARANTA BAUCHI",junior,public,BAUCHI,BAUCHI,"BAUCHI","BAUCHI",active,"FUK(#331); GSU(#331); FCET_GOMBE(#331)"
16,"GH USMAN KATSINA UNITY COLLEGE BAUCHI","GENERAL HASSAN USMAN KATSINA UNITY COLLEGE BAUCHI",senior,public,BAUCHI,BAUCHI,"BAUCHI","BAUCHI",active,"FUK(#340); GSU(#340); FCET_GOMBE(#340)"
17,"PCS YELWA BAUCHI","POLICE CHILDREN SCHOOL YELWA BAUCHI",senior,public,BAUCHI,BAUCHI,"BAUCHI","BAUCHI",active,"FUK(#330); GSU(#330); FCET_GOMBE(#330)"
18,"YP SCHOOL BAUCHI","YELWA PRACTISING SCHOOL BAUCHI",senior,public,BAUCHI,BAUCHI,"BAUCHI","BAUCHI",active,"FUK(#339); GSU(#339); FCET_GOMBE(#339)"
19,"IA PRIMARY SCHOOL DASS","ILIYA ADAMU PRIMARY SCHOOL DASS",primary,public,BAUCHI,DASS,"DASS","DASS",active,"GSU(#337); FCET_GOMBE(#337)"
